model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,ari_mean,ari_std,nmi_mean,nmi_std
CLIP_Multi,0.9550652833142569,0.015297888504893727,0.8177062181326784,0.16944281744985606,0.9539179866846897,0.014210902676911765,0.5889830723624065,0.3071819909322821,0.467441379850144,0.30010252296237067
CLIP_Img,0.5976315552927942,0.32505478074437577,0.5244940555123586,0.29598562147131613,0.613459706104237,0.3313387343099355,0.2143224094577804,0.2844374266203815,0.16255734776927155,0.1797497883866831
CLIP_Expr,0.9553647181543589,0.015619772963580945,0.8176930422057314,0.1693973706939778,0.9541536509647944,0.014717898399467673,0.5895822005695168,0.3076563234536432,0.46713006944926333,0.3020939440663048
ConcatGraph,0.9501959943967723,0.02249988587539261,0.7999199454134829,0.19500807517420682,0.9507646404749067,0.022317148209154695,0.5551245567261599,0.3638043082107768,0.44346950181535716,0.35016883668261717
ExprOnly,0.9579531887100169,0.016517108570347532,0.8103445478954534,0.18934119068955257,0.9562179014130041,0.01703776544084668,0.5806636277244446,0.3523513543666509,0.4653596572723819,0.3351957498543597
ImageOnly,0.8276615864489865,0.1492500541209215,0.6988871799424811,0.19686871439249168,0.8478950263317783,0.1437851468955747,0.3354975391633623,0.3726749910271993,0.28105396531333543,0.24750062534462317
ExprGraph,0.9500039228604641,0.01688818317082807,0.8018423312054997,0.19092286648489645,0.9503738758603898,0.01683746373779731,0.5561638723404162,0.3512248267493623,0.4428085403124731,0.3314287789390229
RF,0.9485144065572878,0.04012616485209834,0.7805866343772248,0.18902622661629412,0.9422325261410138,0.04309148110313191,0.519783354646928,0.3552381880194082,0.429761731424115,0.3250664474599185
