model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,ari_mean,ari_std,nmi_mean,nmi_std
CLIP_Multi,0.910319443742975,0.020158870545777148,0.8472610417090515,0.1011176423453416,0.9086819111635254,0.02076529486758728,0.7777650608302044,0.02868295319181267,0.7169816727527126,0.05365465617324119
CLIP_Img,0.36180457053218845,0.1666344328592453,0.31037789422755696,0.21233132274631833,0.2864861804061473,0.21780181342951313,0.08375400101085233,0.12806187663350102,0.12445945383868035,0.12451306493499385
CLIP_Expr,0.9110310837211819,0.020744414061701986,0.8477390981826863,0.10102653856890485,0.909382172359319,0.021252827926278306,0.7797153584766836,0.02850456457362825,0.7190198340934002,0.054248754684672225
ConcatGraph,0.9242929903358013,0.01781452663831352,0.8630904840666918,0.10064461792752036,0.9228505206004932,0.01781604640598169,0.8105612639178952,0.02699483026607693,0.7510705075438544,0.050761817185350167
ExprOnly,0.9286717064367709,0.01769425233914243,0.8709605484489881,0.09818634773712635,0.9271084323347599,0.018329359019493664,0.8194198528872889,0.03097981517886972,0.7644089105261461,0.05196043790385302
ImageOnly,0.46463082118201665,0.09124806136398377,0.4337607291390134,0.14228561156580208,0.4342277503746307,0.1421936595324655,0.16281833065479126,0.06819987371360728,0.22052719407641266,0.05690477743070441
ExprGraph,0.9241578189350508,0.018645404934844362,0.8657400450552767,0.09701783628522088,0.9225905384516064,0.01912357188882959,0.8089830443975279,0.03138614384210454,0.7510476372616527,0.053626211413681756
RF,0.8992146490466211,0.039971415179395176,0.8404626080691103,0.1121209938235253,0.8967500749799082,0.04102355394827144,0.7416786154293733,0.10179509017711574,0.7137439223455088,0.0924133988123652
