seed,sample,method,ari,nmi,n_clusters,res,sec
5,1DPI,SpatialDomainAE,0.517512071265677,0.6950617964092051,11,1.0,84.4
5,1DPI,SpatialGATAE,0.5129533751446301,0.6808000805443268,10,0.8,60.6
5,1DPI,ExprOnlyAE,0.4747648709387404,0.6671347532036981,10,1.0,55.7
5,3DPI,SpatialDomainAE,0.6986606586913788,0.7844627596123499,13,0.8,78.3
5,3DPI,SpatialGATAE,0.6983364770370866,0.7916944746459794,13,1.0,62.7
5,3DPI,ExprOnlyAE,0.6787724383742909,0.7805781171043089,13,0.8,58.0
5,7DPI,SpatialDomainAE,0.6244075777708756,0.7570117793082725,13,1.0,77.1
5,7DPI,SpatialGATAE,0.6116219518785108,0.7484199221890753,10,0.8,62.6
5,7DPI,ExprOnlyAE,0.6450843659256273,0.7557312672602036,12,1.0,56.5
5,Ctrl,SpatialDomainAE,0.5792770771512483,0.7139398703591235,11,0.8,76.3
5,Ctrl,SpatialGATAE,0.5636442724866063,0.6978070081712722,12,1.0,63.5
5,Ctrl,ExprOnlyAE,0.6356166562819885,0.7424871536757343,13,1.5,58.1
6,1DPI,SpatialDomainAE,0.523776741067132,0.7002634153719025,11,0.8,74.7
6,1DPI,SpatialGATAE,0.4993340939987747,0.6837871389808117,8,0.3,59.8
6,1DPI,ExprOnlyAE,0.4684729265638219,0.6642814610498942,8,0.8,55.6
6,3DPI,SpatialDomainAE,0.66754218686149,0.7777010518799539,13,0.8,77.0
6,3DPI,SpatialGATAE,0.6767278349598044,0.7774241837318894,13,1.0,64.5
6,3DPI,ExprOnlyAE,0.6857591270276202,0.788988602678567,11,1.0,58.3
6,7DPI,SpatialDomainAE,0.6347536254672719,0.752988730411138,12,1.0,78.4
6,7DPI,SpatialGATAE,0.6660806633822005,0.7689297832320268,13,1.0,63.9
6,7DPI,ExprOnlyAE,0.6238638441388829,0.7454482373579706,10,1.0,58.9
6,Ctrl,SpatialDomainAE,0.5869186140895819,0.731752343590443,17,1.5,76.3
6,Ctrl,SpatialGATAE,0.5561071638544206,0.6965573540964313,12,0.8,62.8
6,Ctrl,ExprOnlyAE,0.585080403881569,0.7141986374045053,11,1.0,58.5
7,1DPI,SpatialDomainAE,0.5261864022049488,0.700385677304156,20,2.0,74.8
7,1DPI,SpatialGATAE,0.4895373153516412,0.6717331984425853,9,0.8,59.2
7,1DPI,ExprOnlyAE,0.46954027553748773,0.653485898539035,8,0.8,53.6
7,3DPI,SpatialDomainAE,0.7359356230004392,0.8020860205218482,15,1.0,77.6
7,3DPI,SpatialGATAE,0.6938522631190323,0.7852987743202604,12,0.8,63.0
7,3DPI,ExprOnlyAE,0.6767146179748453,0.7755747736747926,16,1.5,58.1
7,7DPI,SpatialDomainAE,0.6762487581879021,0.774491474333288,12,1.0,77.6
7,7DPI,SpatialGATAE,0.6065200235497774,0.7448335014343435,10,0.8,65.6
7,7DPI,ExprOnlyAE,0.6154909367583582,0.7378542248431731,10,1.0,59.1
7,Ctrl,SpatialDomainAE,0.5960180632830159,0.7246299048006222,11,0.8,77.3
7,Ctrl,SpatialGATAE,0.5509182033452759,0.6947695061780914,12,0.8,63.1
7,Ctrl,ExprOnlyAE,0.5577413924963749,0.7019464802232293,10,1.0,57.7
8,1DPI,SpatialDomainAE,0.5150737471362781,0.6877461424965223,11,1.0,72.7
8,1DPI,SpatialGATAE,0.51147158589844,0.6856066904130866,10,0.8,60.6
8,1DPI,ExprOnlyAE,0.4726791476491555,0.6788580050351197,19,2.0,55.0
8,3DPI,SpatialDomainAE,0.7077482922033643,0.7894093339269144,14,1.0,77.5
8,3DPI,SpatialGATAE,0.676620687963655,0.7685283072011054,13,1.0,64.3
8,3DPI,ExprOnlyAE,0.6916789007611938,0.7813955637342646,13,1.0,55.2
8,7DPI,SpatialDomainAE,0.6426840241864555,0.7602041118213013,12,1.0,78.1
8,7DPI,SpatialGATAE,0.6168519593268653,0.7534438111341262,10,0.8,62.2
8,7DPI,ExprOnlyAE,0.6482731206361673,0.7627940424533263,11,1.0,57.1
8,Ctrl,SpatialDomainAE,0.6122052913460525,0.7397761254467585,11,1.0,77.6
8,Ctrl,SpatialGATAE,0.5726528041563262,0.7104270222850119,11,0.8,61.6
8,Ctrl,ExprOnlyAE,0.564343655458883,0.7056284174730006,13,1.5,53.0
9,1DPI,SpatialDomainAE,0.5032562952429691,0.6830451362652887,11,1.0,72.6
9,1DPI,SpatialGATAE,0.5212944385919547,0.6855132244148967,11,0.8,61.1
9,1DPI,ExprOnlyAE,0.4864610833393214,0.6945345242520704,19,2.0,49.4
9,3DPI,SpatialDomainAE,0.7123493203995963,0.7953523615706217,14,1.0,80.0
9,3DPI,SpatialGATAE,0.6630128056222305,0.7701045575718917,14,1.0,64.2
9,3DPI,ExprOnlyAE,0.6963562710499799,0.785533886604109,14,1.0,54.9
9,7DPI,SpatialDomainAE,0.624027625903146,0.754766985683001,12,1.0,76.6
9,7DPI,SpatialGATAE,0.6238212814704484,0.7503051230198936,11,1.0,62.7
9,7DPI,ExprOnlyAE,0.6296339380729161,0.7457252577128235,12,1.0,54.9
9,Ctrl,SpatialDomainAE,0.5851361920541437,0.7154009155447594,11,0.8,77.0
9,Ctrl,SpatialGATAE,0.5697724790334032,0.7050759233574807,12,1.0,62.2
9,Ctrl,ExprOnlyAE,0.55349316234693,0.6887094135896225,11,1.0,54.3
