seed,sample,method,lam,ari,nmi,n_clusters,res,sec
0,1DPI,v2_lam0.0,0.0,0.545701964206393,0.7148039355442993,9,0.3,39.3
0,1DPI,v2_lam0.05,0.05,0.500026365997741,0.7161934336600633,14,0.5,62.0
0,1DPI,v2_lam0.1,0.1,0.49943179038901775,0.7027882318186012,11,0.3,51.8
0,1DPI,v2_lam0.3,0.3,0.5117645154042734,0.7103481753610048,12,0.3,44.4
0,3DPI,v2_lam0.0,0.0,0.695422416395054,0.7996462606530622,13,0.5,82.8
0,3DPI,v2_lam0.05,0.05,0.6065822654667201,0.7206820996241623,10,0.3,63.3
0,3DPI,v2_lam0.1,0.1,0.6016725091141274,0.7357943120723949,15,0.5,45.5
0,3DPI,v2_lam0.3,0.3,0.6005134830510216,0.7203623549770909,10,0.3,46.0
0,7DPI,v2_lam0.0,0.0,0.6579949844340366,0.7796273527641627,11,0.3,90.7
0,7DPI,v2_lam0.05,0.05,0.6152346131349077,0.7420818514081071,10,0.3,52.7
0,7DPI,v2_lam0.1,0.1,0.6107476963677174,0.7353512712138859,10,0.3,43.5
0,7DPI,v2_lam0.3,0.3,0.593110148023919,0.7251966151314037,10,0.3,50.4
